"iso2c","country","year","SP.POP.TOTL","NY.GDP.PCAP.KD","SP.DYN.LE00.IN","SP.DYN.IMRT.IN","ST.INT.DPRT","ST.INT.ARVL","SH.MED.PHYS.ZS","SH.MED.NUMW.P3","SH.MED.BEDS.ZS","IQ.CPA.PROT.XQ","IQ.CPA.PADM.XQ","SI.POV.GINI","SH.DTH.COMM.ZS","SH.MED.CMHW.P3","SH.XPD.CHEX.PP.CD","SH.STA.HYGN.ZS","SP.POP.65UP.TO.ZS","SP.URB.TOTL.IN.ZS","EN.POP.SLUM.UR.ZS","per_si_allsi.cov_pop_tot","iso3c","region","capital","longitude","latitude","income","lending"
"1A","Arab World",1965,105736431,NA,49.496478440671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.60323775255853,35.1476995730544,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",1964,102832760,NA,48.9100185353286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.59639282267635,34.3035974647573,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",1986,197338142,3960.37183020167,62.3141202992932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.58038234696666,48.4403409063971,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",1987,203084971,3829.31038352293,62.9013458399686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.58842900295167,48.9798828165231,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",1963,100034179,NA,48.3204319602403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.58355117804286,33.5015971344154,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",1996,259000953,4482.48323283939,66.554102867301,49.2831590822723,NA,23733141.062398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.86714384412408,52.0625731648756,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",1993,239243261,4375.09687101498,65.4149073470161,53.5145642533112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75434775843425,51.151209224259,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",1994,245449409,4401.18651493037,65.7856525186418,52.1062474450293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.79442829235546,51.4094245175999,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",1995,253107289,4385.39377720725,66.1960998468045,50.6728685911286,NA,22858871.1284387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.82149868976126,51.8956835687336,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",1984,186035305,4106.25343950081,61.0037610987495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.58101597973568,47.2166957240939,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",1985,191650331,3894.63673841152,61.6768157542394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.57417175553952,47.8332114280356,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",1960,92197753,NA,46.5469088857838,NA,NA,NA,NA,NA,1.92730144882262,NA,NA,NA,NA,NA,NA,NA,3.5079217169208,31.2341425374,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",1961,94724510,NA,47.1416208779016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.53932577745718,31.9799192663863,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",1962,97334442,NA,47.731783324992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.56448337167228,32.7291285169026,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",2008,338395961,5926.96441327281,69.9421742706232,34.0385303632059,NA,79523573.9026398,NA,NA,1.63605722707948,2.9,2.6,NA,NA,NA,520.408571498809,NA,4.12129700032303,55.5790757364122,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",2009,346629220,5810.85867533318,70.1575600376968,32.884891162228,NA,78927995.8663251,NA,NA,1.52885375764916,2.9,2.7,NA,NA,NA,638.619651047366,NA,4.12342204258041,56.009770049158,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",2010,354890042,5946.25857899362,70.349916226204,31.8152606801858,NA,90023607.249532,NA,NA,1.52952286081567,2.9,2.7,NA,24.5133416981051,NA,598.659812252539,NA,4.13305127320425,56.4408791933362,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",2011,363158703,6021.78111301793,70.5287748030398,30.9071053924424,NA,76660005.5294921,NA,NA,1.16022306555643,3,2.6,NA,NA,NA,619.640375834412,NA,4.1526974323495,56.7919478898403,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",2012,371443547,6279.46271351459,70.7038265981398,30.1105627404638,NA,84844588.3008134,NA,NA,1.15838267090974,2.9,2.6,NA,NA,NA,656.825184870866,NA,4.17525109995385,57.0985374409452,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",2013,379705719,6337.46423310735,70.8822537420776,29.3598592776984,NA,85114141.128268,NA,NA,1.15189919300725,2.8,2.6,NA,NA,NA,739.046926834311,NA,4.20419767059679,57.4009387122083,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",2014,387907748,6354.79837775237,71.0642924303822,28.7135947946807,NA,90876674.1350811,NA,NA,1.62452358185493,2.9,2.6,NA,NA,NA,808.801032044334,68.9678694909256,4.24490647926923,57.6924802355379,32.5170967713197,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",2015,396028278,6430.29703116083,71.249571410287,28.063805426847,NA,88169233.2844442,1.09730257439853,2.09223475000979,NA,2.8,2.5,NA,20.3790795587104,NA,891.381760821172,69.4906179134644,4.30104727267074,58.0314666759024,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",2016,404024433,6515.6109509947,71.4364968350268,27.539938957398,NA,87721747.4973295,NA,NA,NA,2.8,2.4,NA,19.9734057486687,NA,1014.5592220972,70.0046593617885,4.37455894237797,58.3452752760698,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",2017,411898965,6444.24926337201,71.6225263276687,27.0066999664228,NA,94181175.8660824,NA,NA,NA,2.58333333333333,2.33333333333333,NA,NA,NA,NA,70.1717347207878,4.46155951164889,58.6414834927347,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",2018,419790588,6452.47330369676,NA,26.4776726175944,NA,101463695.274466,NA,NA,NA,2.7,2.4,NA,NA,NA,NA,NA,4.55787642361103,58.9254185931391,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",1973,132161298,NA,54.0158543893538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.68911933658521,40.9464949346291,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",1974,135952252,NA,54.6428665845491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.69043096101122,41.5952872472462,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",1975,140040649,4071.55352528986,55.2779884570801,NA,NA,NA,NA,NA,1.58381419388698,NA,NA,NA,NA,NA,NA,NA,3.68274143031142,42.2019074327698,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",1976,144453278,4571.6493757522,55.9096123217709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.67993587518311,42.7717411190973,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",1977,149161891,4792.02377571234,56.5280764080552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66857979830787,43.2934845203457,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",1978,154111175,4607.49163398918,57.133900247461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.65177736137564,43.8017173475577,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",1979,159218552,4974.03015891163,57.7348595287564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6331808871117,44.3097378521506,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",1980,164420785,5256.90734117484,58.3450234343121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.61527467467085,44.8465760180746,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",1981,169698994,5242.0282122973,58.9773593187182,NA,NA,NA,NA,NA,1.7076106017146,NA,NA,NA,NA,NA,NA,NA,3.60865604188555,45.4067368696658,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",1982,175061792,4620.51811942082,59.6359973153822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.59976379083335,45.9746357198606,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",1983,180505996,4174.80225236707,60.3162771302123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.59004196181937,46.5748912935779,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",1999,276393837,4692.57347249239,67.517688947424,45.2544627975551,NA,32442075.6321471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.98529535018246,52.7408483079672,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",2000,282344154,4845.32489058991,67.8005911153485,43.946849971185,NA,36338661.4813049,1.12513376277058,NA,1.59791104698031,NA,NA,NA,32.2402096092057,NA,396.211319683982,NA,4.01808502466221,52.9893021963685,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",2001,288432163,4818.20347787604,68.0725185170594,42.6529596022529,NA,37120451.6229335,NA,NA,1.63946676396227,NA,NA,NA,NA,NA,435.94869964093,NA,4.0467131940418,53.251444357601,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",2002,294665185,4743.81652646319,68.3402459940492,41.3884282785854,NA,41532534.5866341,NA,NA,1.57479931646334,NA,NA,NA,NA,NA,439.455554241776,NA,4.07143899409348,53.5156238393009,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",1988,208889682,3931.57975953983,63.4296870021948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5995621842155,49.4388167462479,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",1989,214753970,3914.73494656028,63.8989814175542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.61493014541245,49.8450179613024,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
"1A","Arab World",1990,222653373,4270.82462718794,64.3515769681109,58.1686659520277,NA,NA,0.718861603790187,NA,1.79558140293835,NA,NA,NA,NA,NA,NA,NA,3.62189743494236,50.3952484902126,NA,NA,"ARB","Aggregates","","","","Aggregates","Aggregates"
